UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 10:14 ?        00:00:25 /sbin/init splash
root           2       0  0 10:14 ?        00:00:00 [kthreadd]
root           3       2  0 10:14 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 10:14 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 10:14 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 10:14 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 10:14 ?        00:00:00 [kworker/R-netns]
root           9       2  0 10:14 ?        00:00:00 [kworker/0:0H-events_highpri]
root          12       2  0 10:14 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 10:14 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 10:14 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 10:14 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  0 10:14 ?        00:00:01 [ksoftirqd/0]
root          17       2  0 10:14 ?        00:00:24 [rcu_preempt]
root          18       2  0 10:14 ?        00:00:01 [migration/0]
root          19       2  0 10:14 ?        00:00:00 [idle_inject/0]
root          20       2  0 10:14 ?        00:00:00 [cpuhp/0]
root          21       2  0 10:14 ?        00:00:00 [cpuhp/2]
root          22       2  0 10:14 ?        00:00:00 [idle_inject/2]
root          23       2  0 10:14 ?        00:00:00 [migration/2]
root          24       2  0 10:14 ?        00:00:00 [ksoftirqd/2]
root          26       2  0 10:14 ?        00:00:00 [kworker/2:0H-events_highpri]
root          27       2  0 10:14 ?        00:00:00 [cpuhp/4]
root          28       2  0 10:14 ?        00:00:00 [idle_inject/4]
root          29       2  0 10:14 ?        00:00:00 [migration/4]
root          30       2  0 10:14 ?        00:00:00 [ksoftirqd/4]
root          32       2  0 10:14 ?        00:00:00 [kworker/4:0H-events_highpri]
root          33       2  0 10:14 ?        00:00:00 [cpuhp/6]
root          34       2  0 10:14 ?        00:00:00 [idle_inject/6]
root          35       2  0 10:14 ?        00:00:00 [migration/6]
root          36       2  0 10:14 ?        00:00:00 [ksoftirqd/6]
root          38       2  0 10:14 ?        00:00:00 [kworker/6:0H-events_highpri]
root          39       2  0 10:14 ?        00:00:00 [cpuhp/8]
root          40       2  0 10:14 ?        00:00:00 [idle_inject/8]
root          41       2  0 10:14 ?        00:00:01 [migration/8]
root          42       2  0 10:14 ?        00:00:00 [ksoftirqd/8]
root          44       2  0 10:14 ?        00:00:00 [kworker/8:0H-events_highpri]
root          45       2  0 10:14 ?        00:00:00 [cpuhp/10]
root          46       2  0 10:14 ?        00:00:00 [idle_inject/10]
